,description,naf5,naf4,naf3,naf2
366,construction travaux de construction spécialisés autres travaux de construction spécialisés autres travaux de construction spécialisés n.c.a. autres travaux spécialisés de construction,43.99D,43.99,43.9,43.0
367,construction travaux de construction spécialisés autres travaux de construction spécialisés autres travaux de construction spécialisés n.c.a. location avec opérateur de matériel de construction,43.99E,43.99,43.9,43.0
368,commerce ; réparation d'automobiles et de motocycles commerce et réparation d'automobiles et de motocycles commerce de véhicules automobiles commerce de voitures et de véhicules automobiles légers commerce de voitures et de véhicules automobiles légers,45.11Z,45.11,45.1,45.0
369,commerce ; réparation d'automobiles et de motocycles commerce et réparation d'automobiles et de motocycles commerce de véhicules automobiles commerce d'autres véhicules automobiles commerce d'autres véhicules automobiles,45.19Z,45.19,45.1,45.0
370,commerce ; réparation d'automobiles et de motocycles commerce et réparation d'automobiles et de motocycles entretien et réparation de véhicules automobiles entretien et réparation de véhicules automobiles entretien et réparation de véhicules automobiles légers,45.20A,45.2,45.2,45.0
371,commerce ; réparation d'automobiles et de motocycles commerce et réparation d'automobiles et de motocycles entretien et réparation de véhicules automobiles entretien et réparation de véhicules automobiles entretien et réparation d'autres véhicules automobiles,45.20B,45.2,45.2,45.0
372,commerce ; réparation d'automobiles et de motocycles commerce et réparation d'automobiles et de motocycles commerce d'équipements automobiles commerce de gros d'équipements automobiles commerce de gros d'équipements automobiles,45.31Z,45.31,45.3,45.0
373,commerce ; réparation d'automobiles et de motocycles commerce et réparation d'automobiles et de motocycles commerce d'équipements automobiles commerce de détail d'équipements automobiles commerce de détail d'équipements automobiles,45.32Z,45.32,45.3,45.0
374,commerce ; réparation d'automobiles et de motocycles commerce et réparation d'automobiles et de motocycles commerce et réparation de motocycles commerce et réparation de motocycles commerce et réparation de motocycles,45.40Z,45.4,45.4,45.0
375,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",46.11Z,46.11,46.1,46.0
376,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques centrales d'achat de carburant",46.12A,46.12,46.1,46.0
377,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques autres intermédiaires du commerce en combustibles, métaux, minéraux et produits chimiques",46.12B,46.12,46.1,46.0
378,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en bois et matériaux de construction intermédiaires du commerce en bois et matériaux de construction",46.13Z,46.13,46.1,46.0
379,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en machines, équipements industriels, navires et avions intermédiaires du commerce en machines, équipements industriels, navires et avions",46.14Z,46.14,46.1,46.0
380,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en meubles, articles de ménage et quincaillerie intermédiaires du commerce en meubles, articles de ménage et quincaillerie",46.15Z,46.15,46.1,46.0
381,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir intermédiaires du commerce en textiles, habillement, fourrures, chaussures et articles en cuir",46.16Z,46.16,46.1,46.0
382,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en denrées, boissons et tabac centrales d'achat alimentaires",46.17A,46.17,46.1,46.0
383,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en denrées, boissons et tabac autres intermédiaires du commerce en denrées, boissons et tabac",46.17B,46.17,46.1,46.0
384,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires spécialisés dans le commerce d'autres produits spécifiques intermédiaires spécialisés dans le commerce d'autres produits spécifiques",46.18Z,46.18,46.1,46.0
385,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en produits divers centrales d'achat non alimentaires",46.19A,46.19,46.1,46.0
386,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles intermédiaires du commerce de gros intermédiaires du commerce en produits divers autres intermédiaires du commerce en produits divers",46.19B,46.19,46.1,46.0
387,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles commerce de gros de produits agricoles bruts et d'animaux vivants commerce de gros de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",46.21Z,46.21,46.2,46.0
388,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles commerce de gros de produits agricoles bruts et d'animaux vivants commerce de gros de fleurs et plantes commerce de gros (commerce interentreprises) de fleurs et plantes",46.22Z,46.22,46.2,46.0
389,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles commerce de gros de produits agricoles bruts et d'animaux vivants commerce de gros d'animaux vivants commerce de gros (commerce interentreprises) d'animaux vivants",46.23Z,46.23,46.2,46.0
390,"commerce ; réparation d'automobiles et de motocycles commerce de gros, à l'exception des automobiles et des motocycles commerce de gros de produits agricoles bruts et d'animaux vivants commerce de gros de cuirs et peaux commerce de gros (commerce interentreprises) de cuirs et peaux",46.24Z,46.24,46.2,46.0
